location_name,time,temperature_2m,relative_humidity_2m,rain,wind_speed_120m,wind_speed_80m,wind_speed_40m,wind_speed_10m,wind_direction_10m,wind_direction_40m,wind_direction_80m,wind_direction_120m,snowfall,pm10,pm2_5,ozone,uv_index,dust,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide
North York,2025-08-06T00:00,21.6,75,0.0,24.5,20.9,16.6,6.5,86,90,92,94,0.0,31.9,31.7,86.0,0.0,0.0,427,18.3,6.0
North York,2025-08-06T01:00,21.4,77,0.0,27.4,23.0,18.0,6.8,86,88,90,92,0.0,28.2,27.9,84.0,0.0,0.0,425,15.6,5.3
North York,2025-08-06T02:00,20.9,76,0.0,28.8,23.0,16.6,6.1,79,84,86,88,0.0,23.1,23.0,82.0,0.0,0.0,424,13.4,4.7
North York,2025-08-06T03:00,19.0,84,0.0,31.0,25.2,19.1,7.9,78,79,82,84,0.0,18.3,18.2,79.0,0.0,0.0,424,11.9,4.5
North York,2025-08-06T04:00,18.5,75,0.0,28.8,23.8,18.0,7.2,77,79,82,84,0.0,15.1,15.0,75.0,0.0,0.0,425,10.7,4.4
North York,2025-08-06T05:00,18.2,73,0.0,27.0,22.3,16.6,6.8,73,74,78,80,0.0,13.8,13.7,71.0,0.0,0.0,426,10.5,4.5
North York,2025-08-06T06:00,18.0,72,0.0,25.6,21.2,15.8,6.1,70,72,76,79,0.0,13.8,13.7,66.0,0.0,0.0,427,11.9,4.9
North York,2025-08-06T07:00,18.5,69,0.0,24.5,19.8,14.4,6.8,74,74,77,80,0.0,14.5,14.4,61.0,0.1,0.0,428,14.1,5.5
North York,2025-08-06T08:00,19.5,66,0.0,21.6,16.9,11.9,5.4,59,71,75,77,0.0,4.0,4.0,63.0,0.45,0.0,428,14.4,5.8
North York,2025-08-06T09:00,21.4,61,0.0,17.3,15.1,12.2,6.1,84,85,86,86,0.0,5.9,5.9,68.0,1.15,0.0,428,14.2,6.4
North York,2025-08-06T10:00,23.2,60,0.0,16.6,15.1,13.0,6.5,93,93,93,93,0.0,7.7,7.6,76.0,2.1,0.0,427,13.8,7.2
North York,2025-08-06T11:00,24.5,59,0.0,15.1,14.0,12.6,6.1,100,100,100,100,0.0,9.4,9.3,87.0,3.6,0.0,427,13.0,7.8
North York,2025-08-06T12:00,25.7,57,0.0,15.8,15.1,13.7,6.8,107,107,106,106,0.0,10.9,10.9,102.0,4.85,0.0,427,11.4,7.8
North York,2025-08-06T13:00,26.9,55,0.0,15.8,15.1,13.7,6.8,108,108,108,108,0.0,13.1,13.0,120.0,5.4,0.0,428,9.4,7.6
North York,2025-08-06T14:00,26.6,53,0.0,16.9,15.8,14.0,7.6,90,98,99,100,0.0,15.9,15.7,137.0,5.0,0.0,429,8.2,7.6
North York,2025-08-06T15:00,28.7,49,0.0,16.6,16.2,14.8,7.2,107,107,106,106,0.0,19.8,19.6,153.0,4.2,0.0,429,7.9,8.0
North York,2025-08-06T16:00,27.3,54,0.0,20.9,19.8,18.0,9.0,118,118,118,118,0.0,23.1,22.8,169.0,3.05,0.0,429,8.3,8.5
North York,2025-08-06T17:00,27.9,53,0.0,17.6,16.9,15.5,7.6,118,118,119,119,0.0,26.1,25.8,178.0,1.8,0.0,430,9.9,9.1
North York,2025-08-06T18:00,27.5,55,0.0,14.8,14.0,12.6,6.5,110,110,110,110,0.0,27.9,27.6,178.0,0.85,0.0,432,13.9,9.8
North York,2025-08-06T19:00,26.9,56,0.0,11.9,11.5,10.4,5.4,113,113,112,112,0.0,28.8,28.5,171.0,0.3,0.0,435,19.1,10.5
North York,2025-08-06T20:00,25.8,57,0.0,10.8,10.4,9.4,5.0,119,119,120,122,0.0,28.8,28.6,162.0,0.05,0.0,437,22.9,10.8
North York,2025-08-06T21:00,23.5,70,0.0,16.9,16.2,14.4,5.8,133,135,135,135,0.0,29.1,28.9,151.0,0.0,0.0,438,24.0,10.5
North York,2025-08-06T22:00,22.8,76,0.0,16.6,15.5,13.3,5.0,92,96,98,99,0.0,29.5,29.3,137.0,0.0,1.0,438,23.7,9.7
North York,2025-08-06T23:00,22.8,78,0.0,16.6,15.1,13.0,5.0,99,101,102,103,0.0,30.4,30.0,123.0,0.0,1.0,438,23.2,9.0
North York,2025-08-07T00:00,21.7,84,0.0,16.9,14.8,12.2,4.7,97,102,104,106,0.0,32.1,31.7,108.0,0.0,1.0,438,23.1,8.4
North York,2025-08-07T01:00,21.1,87,0.0,15.8,13.7,11.2,4.3,90,99,102,105,0.0,34.3,33.9,92.0,0.0,1.0,438,22.8,7.7
North York,2025-08-07T02:00,20.9,88,0.0,14.0,11.9,9.4,4.0,64,90,99,105,0.0,36.1,35.5,80.0,0.0,1.0,438,22.3,7.3
North York,2025-08-07T03:00,19.0,97,0.0,16.2,13.3,10.8,4.0,84,91,107,119,0.0,37.1,36.6,73.0,0.0,1.0,438,21.2,7.1
North York,2025-08-07T04:00,18.8,98,0.0,13.7,11.2,9.7,3.6,94,103,125,143,0.0,36.7,36.1,70.0,0.0,1.0,438,19.9,7.1
North York,2025-08-07T05:00,19.2,99,0.0,14.0,11.5,9.7,3.6,119,129,147,161,0.0,34.0,33.5,68.0,0.0,1.0,438,19.0,7.2
North York,2025-08-07T06:00,20.0,90,0.0,16.2,14.4,11.9,4.3,158,166,175,182,0.0,30.2,29.8,66.0,0.0,1.0,439,19.2,7.5
North York,2025-08-07T07:00,20.4,82,0.0,16.9,14.8,11.9,4.3,181,185,192,197,0.0,26.0,25.8,65.0,0.15,0.0,441,19.7,8.0
North York,2025-08-07T08:00,21.5,79,0.0,14.0,10.8,6.8,2.5,223,203,206,208,0.0,22.9,22.8,73.0,0.55,0.0,442,17.1,8.2
North York,2025-08-07T09:00,22.9,69,0.0,11.2,10.1,8.3,4.0,188,189,191,193,0.0,17.5,17.3,86.0,1.45,0.0,443,14.9,8.5
North York,2025-08-07T10:00,24.6,59,0.0,12.2,11.5,10.1,5.0,188,188,189,190,0.0,14.6,14.2,105.0,2.8,0.0,443,11.9,8.9
North York,2025-08-07T11:00,25.6,55,0.0,13.7,13.0,11.5,5.8,176,176,177,178,0.0,14.4,14.0,121.0,4.35,0.0,442,9.2,9.1
North York,2025-08-07T12:00,26.6,50,0.0,14.4,14.0,12.6,6.1,169,169,170,170,0.0,15.3,14.8,133.0,5.5,0.0,440,7.2,9.0
North York,2025-08-07T13:00,27.4,45,0.0,15.1,14.8,13.3,6.5,160,160,160,160,0.0,16.6,15.9,143.0,6.05,1.0,438,5.6,8.7
North York,2025-08-07T14:00,28.0,41,0.0,14.8,14.4,13.0,6.5,151,151,151,151,0.0,17.8,17.1,149.0,5.75,1.0,436,4.6,8.3
North York,2025-08-07T15:00,28.4,39,0.0,15.8,15.5,14.0,6.8,159,160,161,161,0.0,18.9,18.1,150.0,4.7,1.0,435,4.0,7.6
North York,2025-08-07T16:00,28.7,39,0.0,17.3,16.6,15.1,7.2,179,180,180,181,0.0,19.9,19.3,148.0,3.4,1.0,434,4.1,6.7
North York,2025-08-07T17:00,28.6,40,0.0,16.6,15.8,14.0,7.2,175,176,177,177,0.0,21.1,20.5,144.0,2.0,1.0,434,5.3,6.1
North York,2025-08-07T18:00,27.8,45,0.0,15.5,15.1,13.3,6.8,153,154,156,158,0.0,22.9,22.3,141.0,0.9,1.0,434,8.6,6.0
North York,2025-08-07T19:00,26.7,47,0.0,13.3,13.0,12.2,6.1,140,141,142,144,0.0,25.0,24.4,137.0,0.3,1.0,434,13.0,6.1
North York,2025-08-07T20:00,25.0,53,0.0,14.0,13.0,10.8,4.7,115,127,128,129,0.0,34.1,33.5,119.0,0.05,1.0,435,17.7,6.7
North York,2025-08-07T21:00,23.2,61,0.0,14.0,13.7,12.2,4.7,115,121,122,122,0.0,36.2,35.7,107.0,0.0,1.0,436,20.8,7.0
North York,2025-08-07T22:00,22.2,67,0.0,14.0,13.3,11.5,4.3,106,117,118,118,0.0,37.1,36.7,91.0,0.0,1.0,437,25.0,7.4
North York,2025-08-07T23:00,21.6,74,0.0,13.7,12.2,10.4,4.0,96,108,110,111,0.0,37.7,37.1,76.0,0.0,1.0,439,27.8,7.6
