location_name,time,temperature_2m,relative_humidity_2m,rain,wind_speed_120m,wind_speed_80m,wind_speed_40m,wind_speed_10m,wind_direction_10m,wind_direction_40m,wind_direction_80m,wind_direction_120m,snowfall,pm10,pm2_5,ozone,uv_index,dust,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide
Oshawa,2025-08-06T00:00,21.7,78,0.0,27.4,23.0,18.7,11.2,86,87,89,91,0.0,14.7,14.6,83.0,0.0,0.0,424,6.0,1.1
Oshawa,2025-08-06T01:00,21.4,70,0.0,29.9,25.2,19.4,11.9,79,80,83,86,0.0,11.3,11.2,80.0,0.0,0.0,423,5.2,1.2
Oshawa,2025-08-06T02:00,20.2,68,0.0,28.4,23.0,17.3,9.7,67,72,76,79,0.0,10.0,9.9,78.0,0.0,0.0,423,4.5,1.3
Oshawa,2025-08-06T03:00,19.2,71,0.0,30.2,24.8,19.1,11.2,67,68,73,77,0.0,9.9,9.8,77.0,0.0,0.0,423,4.1,1.4
Oshawa,2025-08-06T04:00,18.9,70,0.0,31.3,25.9,19.8,11.5,64,65,70,73,0.0,10.4,10.3,76.0,0.0,0.0,424,3.9,1.5
Oshawa,2025-08-06T05:00,18.6,69,0.0,29.9,24.1,18.7,10.8,61,63,68,71,0.0,10.8,10.7,75.0,0.0,0.0,424,3.9,1.5
Oshawa,2025-08-06T06:00,18.3,69,0.0,28.4,23.4,18.0,10.4,59,61,66,69,0.0,11.3,11.2,72.0,0.0,0.0,424,4.2,1.5
Oshawa,2025-08-06T07:00,18.7,67,0.0,28.1,22.3,16.6,10.1,57,59,64,67,0.0,11.6,11.4,68.0,0.15,0.0,424,4.8,1.5
Oshawa,2025-08-06T08:00,20.7,61,0.0,23.4,17.6,11.9,7.9,57,62,66,67,0.0,3.6,3.6,70.0,0.55,0.0,423,4.7,1.7
Oshawa,2025-08-06T09:00,23.1,55,0.0,19.4,16.6,14.0,10.1,84,84,83,83,0.0,4.9,4.8,77.0,1.35,0.0,422,4.2,1.7
Oshawa,2025-08-06T10:00,25.0,52,0.0,17.6,16.6,14.8,10.8,97,97,96,94,0.0,5.6,5.5,86.0,2.5,0.0,420,3.5,1.7
Oshawa,2025-08-06T11:00,26.5,51,0.0,18.0,17.3,15.8,11.9,113,112,110,108,0.0,7.0,6.9,95.0,3.65,0.0,420,2.9,1.7
Oshawa,2025-08-06T12:00,26.8,50,0.0,19.1,18.4,17.3,13.0,120,118,117,115,0.0,8.5,8.4,102.0,4.85,0.0,421,2.4,1.6
Oshawa,2025-08-06T13:00,27.5,50,0.0,19.1,18.4,17.3,13.0,119,118,117,116,0.0,10.1,9.9,107.0,5.25,0.0,423,2.0,1.4
Oshawa,2025-08-06T14:00,27.4,47,0.0,18.0,16.9,15.5,11.2,113,114,113,112,0.0,11.7,11.5,114.0,4.8,0.0,425,1.8,1.3
Oshawa,2025-08-06T15:00,29.3,45,0.0,19.4,18.7,17.6,13.3,120,119,117,116,0.0,13.8,13.6,123.0,4.0,0.0,426,1.7,1.5
Oshawa,2025-08-06T16:00,27.6,52,0.0,21.2,20.5,19.1,14.4,137,136,135,134,0.0,16.8,16.5,133.0,2.85,1.0,428,1.7,1.8
Oshawa,2025-08-06T17:00,27.5,54,0.0,20.2,19.4,18.0,13.3,126,126,125,125,0.0,20.3,20.0,140.0,1.65,1.0,429,2.1,2.1
