location_name,time,temperature_2m,relative_humidity_2m,rain,wind_speed_120m,wind_speed_80m,wind_speed_40m,wind_speed_10m,wind_direction_10m,wind_direction_40m,wind_direction_80m,wind_direction_120m,snowfall,pm10,pm2_5,ozone,uv_index,dust,carbon_dioxide,nitrogen_dioxide,sulphur_dioxide
Scarborough,2025-08-06T00:00,21.7,77,0.0,25.9,22.3,18.4,11.2,84,86,89,92,0.0,23.9,23.7,99.0,0.0,0.0,426,7.9,1.2
Scarborough,2025-08-06T01:00,21.4,81,0.0,29.5,24.8,19.8,12.2,83,84,87,89,0.0,19.4,19.3,93.0,0.0,0.0,423,6.6,1.1
Scarborough,2025-08-06T02:00,20.8,78,0.0,30.2,24.5,18.7,11.5,77,79,83,85,0.0,15.3,15.3,88.0,0.0,0.0,422,5.6,1.0
Scarborough,2025-08-06T03:00,19.2,79,0.0,33.5,27.7,22.0,13.7,76,77,80,82,0.0,12.9,12.8,85.0,0.0,0.0,422,5.1,1.1
Scarborough,2025-08-06T04:00,18.8,73,0.0,32.4,27.0,21.2,13.0,76,77,80,82,0.0,12.2,12.1,82.0,0.0,0.0,424,4.9,1.2
Scarborough,2025-08-06T05:00,18.4,71,0.0,30.6,25.6,19.8,12.2,73,74,77,80,0.0,12.4,12.3,80.0,0.0,0.0,425,5.0,1.3
Scarborough,2025-08-06T06:00,18.2,71,0.0,29.2,24.5,19.1,11.5,72,73,76,78,0.0,13.1,13.0,77.0,0.0,0.0,426,5.6,1.4
Scarborough,2025-08-06T07:00,18.5,69,0.0,28.4,23.0,17.6,11.5,73,74,77,79,0.0,13.8,13.7,74.0,0.1,0.0,427,6.6,1.5
Scarborough,2025-08-06T08:00,19.6,65,0.0,25.2,20.2,15.1,10.1,69,73,76,77,0.0,3.3,3.3,74.0,0.45,0.0,427,7.5,1.6
Scarborough,2025-08-06T09:00,21.7,59,0.0,20.2,17.6,15.1,11.2,84,85,85,85,0.0,4.2,4.2,78.0,1.05,0.0,426,7.3,1.8
Scarborough,2025-08-06T10:00,23.3,58,0.0,19.1,17.6,15.8,11.9,93,93,93,93,0.0,4.9,4.8,83.0,2.15,0.0,425,7.0,2.1
Scarborough,2025-08-06T11:00,24.4,59,0.0,17.6,16.9,15.5,11.5,99,99,99,98,0.0,5.4,5.3,90.0,3.4,0.0,425,6.5,2.3
Scarborough,2025-08-06T12:00,25.4,58,0.0,17.6,17.3,15.8,11.9,106,105,105,105,0.0,6.1,6.1,99.0,4.65,0.0,426,5.7,2.3
Scarborough,2025-08-06T13:00,26.5,56,0.0,17.6,17.3,16.2,12.2,106,106,105,105,0.0,7.1,7.1,109.0,5.25,0.0,427,4.8,2.3
Scarborough,2025-08-06T14:00,26.2,54,0.0,18.4,17.6,16.2,12.2,94,97,98,98,0.0,8.9,8.8,119.0,4.85,0.0,428,4.4,2.3
Scarborough,2025-08-06T15:00,28.1,50,0.0,19.1,18.4,17.3,13.0,104,104,104,103,0.0,10.8,10.7,130.0,4.05,0.0,428,4.7,2.5
Scarborough,2025-08-06T16:00,27.1,55,0.0,20.5,19.8,18.7,14.0,117,117,117,117,0.0,13.1,12.9,142.0,2.9,0.0,428,5.6,2.8
Scarborough,2025-08-06T17:00,27.5,55,0.0,18.7,18.0,16.9,12.6,113,113,113,113,0.0,15.4,15.3,151.0,1.7,0.0,429,7.1,3.0
Scarborough,2025-08-06T18:00,27.1,57,0.0,14.0,13.7,13.0,9.7,105,105,105,105,0.0,17.0,16.9,156.0,0.75,0.0,431,9.8,2.9
Scarborough,2025-08-06T19:00,26.5,57,0.0,11.9,11.5,10.8,7.9,105,105,104,103,0.0,18.7,18.6,159.0,0.25,0.0,433,13.1,2.6
Scarborough,2025-08-06T20:00,25.4,62,0.0,10.8,10.8,10.1,8.3,113,113,115,117,0.0,20.0,19.8,158.0,0.05,0.0,435,15.1,2.4
Scarborough,2025-08-06T21:00,23.1,77,0.0,14.0,13.3,12.6,8.3,135,136,137,137,0.0,21.7,21.5,154.0,0.0,0.0,437,14.4,2.2
Scarborough,2025-08-06T22:00,22.4,82,0.0,16.6,15.5,14.0,9.0,93,96,99,101,0.0,24.0,23.8,148.0,0.0,1.0,438,12.3,2.1
Scarborough,2025-08-06T23:00,21.8,86,0.0,18.0,16.2,14.4,9.0,92,94,97,99,0.0,28.1,27.6,138.0,0.0,1.0,439,10.8,2.1
Scarborough,2025-08-07T00:00,21.2,90,0.0,18.0,15.8,13.3,8.3,90,94,98,101,0.0,32.7,32.1,123.0,0.0,1.0,438,10.7,2.3
Scarborough,2025-08-07T01:00,20.9,88,0.0,17.6,15.5,13.0,7.9,85,89,95,99,0.0,36.6,36.0,105.0,0.0,1.0,437,11.2,2.6
Scarborough,2025-08-07T02:00,20.8,90,0.0,15.1,13.0,10.8,6.8,74,85,95,103,0.0,38.9,38.3,91.0,0.0,1.0,436,11.4,2.9
Scarborough,2025-08-07T03:00,18.5,99,0.0,15.5,13.3,11.9,6.5,80,85,103,120,0.0,39.6,39.0,84.0,0.0,1.0,436,10.8,3.2
Scarborough,2025-08-07T04:00,18.4,100,0.0,13.0,10.8,10.4,5.4,89,97,122,145,0.0,38.4,38.0,82.0,0.0,1.0,436,9.9,3.5
Scarborough,2025-08-07T05:00,19.0,100,0.0,13.7,11.5,10.1,5.4,112,123,144,161,0.0,35.3,34.9,81.0,0.0,1.0,436,9.5,3.8
Scarborough,2025-08-07T06:00,19.9,90,0.0,16.2,14.4,12.2,6.5,155,166,175,183,0.0,30.9,30.5,79.0,0.0,1.0,437,10.2,4.0
Scarborough,2025-08-07T07:00,20.5,81,0.0,17.3,15.1,12.6,6.5,182,187,193,199,0.0,26.2,26.0,79.0,0.1,0.0,440,11.4,4.2
Scarborough,2025-08-07T08:00,21.5,79,0.0,14.4,11.2,7.6,4.3,211,206,209,212,0.0,21.7,21.4,83.0,0.5,0.0,441,10.1,3.4
Scarborough,2025-08-07T09:00,23.6,66,0.0,11.5,10.4,9.0,6.5,190,190,193,195,0.0,18.1,17.8,92.0,1.4,0.0,442,9.1,3.8
Scarborough,2025-08-07T10:00,25.1,58,0.0,12.2,11.5,10.4,7.9,188,188,190,191,0.0,16.2,15.8,105.0,2.7,1.0,442,7.7,4.3
Scarborough,2025-08-07T11:00,26.1,54,0.0,13.7,13.3,12.6,9.4,176,177,178,179,0.0,16.5,15.9,117.0,4.15,1.0,441,6.4,4.8
Scarborough,2025-08-07T12:00,26.9,50,0.0,14.8,14.4,13.7,10.1,169,170,170,171,0.0,17.4,16.8,128.0,5.25,1.0,440,5.3,5.3
Scarborough,2025-08-07T13:00,27.7,44,0.0,14.8,14.4,13.7,10.4,160,161,161,161,0.0,18.3,17.5,137.0,5.8,1.0,438,4.3,5.8
Scarborough,2025-08-07T14:00,28.4,40,0.0,13.7,13.3,12.6,9.7,149,150,150,150,0.0,19.1,18.3,145.0,5.4,1.0,436,3.7,6.0
Scarborough,2025-08-07T15:00,28.9,37,0.0,14.0,13.7,13.0,9.7,157,158,158,159,0.0,20.1,19.3,150.0,4.3,1.0,435,3.6,5.7
Scarborough,2025-08-07T16:00,29.1,39,0.0,14.4,13.7,13.0,9.7,172,173,174,175,0.0,21.1,20.4,152.0,3.0,1.0,434,3.9,5.2
Scarborough,2025-08-07T17:00,28.6,41,0.0,14.0,13.7,13.3,10.1,153,155,157,158,0.0,21.9,21.2,152.0,1.7,1.0,434,5.0,4.6
Scarborough,2025-08-07T18:00,27.4,44,0.0,14.8,14.8,14.4,10.8,129,130,131,132,0.0,22.9,22.2,150.0,0.8,1.0,433,7.4,4.0
Scarborough,2025-08-07T19:00,26.3,46,0.0,13.0,13.0,12.6,9.4,119,119,120,120,0.0,24.4,23.8,145.0,0.25,1.0,433,10.5,3.4
Scarborough,2025-08-07T20:00,24.9,53,0.0,14.0,13.3,11.9,9.0,111,111,112,112,0.0,31.7,31.0,120.0,0.05,1.0,433,14.5,2.6
Scarborough,2025-08-07T21:00,23.2,63,0.0,13.0,12.6,11.5,7.2,107,110,111,111,0.0,33.2,32.5,112.0,0.0,1.0,434,14.4,2.4
Scarborough,2025-08-07T22:00,22.2,69,0.0,14.0,13.0,11.5,7.2,102,109,110,111,0.0,34.7,34.1,102.0,0.0,1.0,436,14.2,2.2
Scarborough,2025-08-07T23:00,21.6,77,0.0,13.7,12.2,10.8,6.5,91,98,102,105,0.0,36.0,35.4,91.0,0.0,1.0,438,14.0,2.0
Scarborough,2025-08-08T00:00,21.2,82,0.0,14.8,13.3,11.2,6.8,92,99,105,109,0.0,36.6,36.0,81.0,0.0,1.0,441,13.7,1.9
Scarborough,2025-08-08T01:00,20.9,86,0.0,15.1,13.3,11.2,6.8,96,104,113,120,0.0,36.0,35.5,71.0,0.0,1.0,443,13.3,1.8
Scarborough,2025-08-08T02:00,20.5,89,0.0,15.8,13.7,11.9,7.2,83,100,116,128,0.0,34.5,34.0,64.0,0.0,1.0,444,12.7,1.8
Scarborough,2025-08-08T03:00,19.4,95,0.0,16.6,14.4,13.0,6.5,108,118,135,150,0.0,32.6,32.2,60.0,0.0,1.0,441,11.8,1.8
Scarborough,2025-08-08T04:00,19.4,89,0.0,18.7,15.8,13.0,6.8,150,164,175,183,0.0,30.9,30.5,58.0,0.0,0.0,437,10.7,1.8
Scarborough,2025-08-08T05:00,19.4,91,0.0,22.3,18.7,14.4,7.6,181,190,195,199,0.0,29.4,29.0,59.0,0.0,0.0,434,9.9,2.1
Scarborough,2025-08-08T06:00,19.3,92,0.0,23.8,19.4,15.1,7.6,194,201,204,206,0.0,28.2,27.9,61.0,0.0,0.0,435,9.8,2.9
Scarborough,2025-08-08T07:00,19.7,90,0.0,23.0,19.1,14.8,7.6,194,199,202,204,0.0,27.6,27.2,65.0,0.15,0.0,438,10.1,3.9
Scarborough,2025-08-08T08:00,21.5,83,0.0,22.3,17.3,12.6,7.9,188,192,197,199,0.0,20.0,19.8,73.0,0.6,0.0,440,10.4,5.2
Scarborough,2025-08-08T09:00,23.8,70,0.0,18.0,15.5,13.0,9.4,201,202,203,204,0.0,20.7,20.4,87.0,1.65,0.0,441,9.7,6.1
Scarborough,2025-08-08T10:00,25.3,63,0.0,17.6,16.2,14.4,10.4,199,200,201,201,0.0,21.5,21.2,107.0,3.1,0.0,440,8.7,7.4
Scarborough,2025-08-08T11:00,26.6,58,0.0,17.3,16.2,14.8,10.8,192,192,193,194,0.0,22.2,21.9,127.0,4.75,0.0,440,7.6,8.4
Scarborough,2025-08-08T12:00,27.8,54,0.0,17.3,16.6,15.5,11.5,187,188,189,189,0.0,22.6,22.3,145.0,6.0,0.0,439,6.5,9.0
Scarborough,2025-08-08T13:00,29.0,51,0.0,20.9,19.8,18.7,14.0,171,172,172,173,0.0,22.9,22.6,162.0,6.65,0.0,438,5.3,9.5
Scarborough,2025-08-08T14:00,29.5,47,0.0,22.0,20.9,19.4,14.4,170,169,169,170,0.0,22.6,22.4,175.0,6.5,0.0,437,4.6,9.6
Scarborough,2025-08-08T15:00,30.2,45,0.0,23.8,22.7,21.2,15.8,168,169,169,170,0.0,22.2,21.9,181.0,5.25,0.0,436,4.2,9.4
Scarborough,2025-08-08T16:00,29.4,47,0.0,23.0,22.3,20.5,15.1,169,170,171,171,0.0,22.1,21.8,182.0,3.55,0.0,435,4.3,8.9
Scarborough,2025-08-08T17:00,29.2,47,0.0,22.7,21.6,19.8,14.8,168,169,171,172,0.0,21.9,21.8,179.0,1.95,0.0,434,5.7,8.2
Scarborough,2025-08-08T18:00,28.4,49,0.0,20.2,19.1,18.0,13.0,171,172,174,176,0.0,22.2,22.0,172.0,0.85,0.0,434,9.9,7.3
Scarborough,2025-08-08T19:00,24.8,75,0.9,9.0,8.3,7.6,5.0,133,138,148,156,0.0,24.5,24.3,163.0,0.3,0.0,435,15.4,6.3
Scarborough,2025-08-08T20:00,24.3,73,0.0,14.0,13.3,12.2,7.6,125,131,137,143,0.0,34.6,34.2,138.0,0.05,0.0,437,20.6,3.9
Scarborough,2025-08-08T21:00,23.5,74,0.0,12.6,11.9,10.8,6.8,122,123,131,137,0.0,33.1,32.8,127.0,0.0,0.0,440,21.2,4.1
Scarborough,2025-08-08T22:00,23.3,74,0.0,13.3,11.9,10.4,6.1,121,123,133,142,0.0,31.1,30.7,112.0,0.0,0.0,443,22.1,4.3
Scarborough,2025-08-08T23:00,23.1,75,0.0,14.4,12.6,10.8,6.1,126,130,141,150,0.0,30.3,30.0,99.0,0.0,0.0,446,22.3,4.5
Scarborough,2025-08-09T00:00,22.4,79,0.0,12.6,10.8,9.4,5.0,126,136,152,164,0.0,29.8,29.5,89.0,0.0,0.0,448,21.3,4.5
Scarborough,2025-08-09T01:00,21.9,83,0.0,13.0,10.4,8.3,4.3,143,157,175,188,0.0,28.1,27.8,81.0,0.0,0.0,450,19.7,4.4
Scarborough,2025-08-09T02:00,21.4,83,0.0,12.2,8.6,5.4,2.2,143,177,190,196,0.0,26.5,26.3,74.0,0.0,0.0,451,18.6,4.4
Scarborough,2025-08-09T03:00,20.0,93,0.0,14.0,10.8,7.6,4.0,187,205,211,214,0.0,26.1,25.8,67.0,0.0,0.0,453,18.6,4.7
Scarborough,2025-08-09T04:00,19.6,96,0.0,13.0,9.7,6.5,3.2,187,205,211,215,0.0,26.1,25.8,61.0,0.0,0.0,455,19.1,5.0
Scarborough,2025-08-09T05:00,19.3,97,0.0,13.0,10.4,7.6,4.0,173,191,201,207,0.0,26.0,25.7,57.0,0.0,0.0,455,19.3,5.3
Scarborough,2025-08-09T06:00,19.2,97,0.0,14.4,12.2,9.4,5.0,173,190,199,204,0.0,25.6,25.3,56.0,0.0,0.0,453,18.8,5.2
Scarborough,2025-08-09T07:00,20.0,96,0.0,17.3,14.8,11.5,6.1,182,191,198,203,0.0,24.9,24.7,57.0,0.15,0.0,449,17.9,5.1
Scarborough,2025-08-09T08:00,21.9,92,0.0,17.3,13.0,8.6,5.0,203,202,206,207,0.0,11.4,11.3,65.0,0.65,0.0,446,13.9,4.3
Scarborough,2025-08-09T09:00,24.0,80,0.0,15.1,13.0,10.4,7.6,203,204,206,207,0.0,11.6,11.5,79.0,1.7,0.0,445,13.5,5.6
Scarborough,2025-08-09T10:00,25.9,71,0.0,11.9,10.8,9.7,7.2,205,206,208,209,0.0,12.6,12.5,99.0,3.3,0.0,444,12.8,7.5
Scarborough,2025-08-09T11:00,27.8,64,0.0,11.5,10.8,10.1,7.6,200,200,202,203,0.0,13.9,13.9,121.0,5.15,0.0,443,11.7,8.8
Scarborough,2025-08-09T12:00,29.5,59,0.0,12.6,12.2,11.9,9.0,177,178,179,180,0.0,15.0,14.9,145.0,6.65,0.0,442,9.8,9.1
Scarborough,2025-08-09T13:00,30.1,55,0.0,18.7,18.4,16.9,13.0,164,165,165,166,0.0,15.8,15.8,171.0,7.3,0.0,442,7.4,8.9
Scarborough,2025-08-09T14:00,31.2,48,0.0,19.4,18.7,17.3,13.3,179,178,178,179,0.0,16.6,16.6,190.0,6.9,0.0,441,5.8,8.7
Scarborough,2025-08-09T15:00,31.8,47,0.0,21.2,20.5,18.7,14.0,175,176,177,178,0.0,17.5,17.4,199.0,5.65,0.0,441,4.8,8.7
Scarborough,2025-08-09T16:00,31.9,45,0.0,24.1,23.4,21.6,15.8,181,182,183,183,0.0,18.0,17.9,202.0,4.05,0.0,440,4.5,8.7
Scarborough,2025-08-09T17:00,31.7,44,0.0,26.6,25.2,23.0,17.3,185,186,187,188,0.0,18.4,18.3,198.0,2.35,0.0,440,6.3,8.8
Scarborough,2025-08-09T18:00,31.1,44,0.0,25.2,23.8,22.0,15.8,183,184,185,186,0.0,20.6,20.5,186.0,1.05,0.0,439,12.2,9.2
Scarborough,2025-08-09T19:00,30.6,45,0.0,24.5,23.0,20.9,14.8,189,190,191,192,0.0,22.1,22.1,167.0,0.3,0.0,439,20.1,9.6
Scarborough,2025-08-09T20:00,29.4,48,0.0,21.2,19.4,16.9,11.2,199,197,198,198,0.0,23.7,23.5,158.0,0.05,0.0,439,25.4,7.7
Scarborough,2025-08-09T21:00,28.2,53,0.0,19.1,17.6,15.5,9.4,198,201,204,206,0.0,24.9,24.7,143.0,0.0,0.0,440,26.3,7.8
Scarborough,2025-08-09T22:00,27.5,53,0.0,16.6,14.8,12.6,7.2,207,215,219,222,0.0,24.3,24.0,122.0,0.0,0.0,442,27.4,7.9
Scarborough,2025-08-09T23:00,26.7,55,0.0,15.8,14.0,11.5,6.5,208,217,220,222,0.0,23.3,23.1,104.0,0.0,0.0,444,27.9,8.0
Scarborough,2025-08-10T00:00,25.8,58,0.0,18.4,15.8,13.3,7.2,212,221,223,225,0.0,22.6,22.5,93.0,0.0,0.0,447,27.2,7.9
Scarborough,2025-08-10T01:00,25.2,62,0.0,19.8,16.9,13.7,7.6,215,224,226,226,0.0,22.1,21.9,86.0,0.0,0.0,449,25.7,7.8
Scarborough,2025-08-10T02:00,24.2,71,0.0,18.4,14.4,10.1,4.7,176,192,198,201,0.0,21.2,21.0,81.0,0.0,0.0,451,24.0,7.6
Scarborough,2025-08-10T03:00,22.5,81,0.0,21.6,17.6,13.3,7.2,210,217,218,219,0.0,20.0,19.8,77.0,0.0,0.0,451,21.8,7.4
Scarborough,2025-08-10T04:00,21.8,87,0.0,21.2,17.3,12.6,6.8,191,200,205,209,0.0,18.6,18.5,76.0,0.0,0.0,450,19.4,7.1
Scarborough,2025-08-10T05:00,21.4,90,0.0,19.1,15.5,11.2,5.8,188,201,204,205,0.0,17.1,17.0,75.0,0.0,0.0,449,17.8,7.1
Scarborough,2025-08-10T06:00,21.0,87,0.0,16.2,13.7,10.8,5.8,255,269,259,252,0.0,15.8,15.7,74.0,0.0,0.0,449,17.8,7.4
Scarborough,2025-08-10T07:00,21.1,84,0.0,14.8,11.2,7.6,4.0,239,257,249,243,0.0,15.1,15.0,74.0,0.15,0.0,449,18.7,7.8
Scarborough,2025-08-10T08:00,22.5,81,0.0,15.1,11.2,7.2,4.3,189,192,200,205,0.0,12.3,12.2,73.0,0.6,0.0,449,21.7,9.2
Scarborough,2025-08-10T09:00,24.9,70,0.0,15.8,11.9,8.3,6.1,181,182,191,196,0.0,11.5,11.4,89.0,1.6,0.0,447,19.3,9.8
Scarborough,2025-08-10T10:00,26.7,66,0.0,11.5,10.4,9.4,7.2,194,194,196,197,0.0,11.4,11.4,112.0,3.1,0.0,444,16.0,10.7
Scarborough,2025-08-10T11:00,28.4,61,0.0,14.0,13.3,12.6,9.4,185,185,187,188,0.0,12.6,12.5,135.0,4.75,0.0,442,12.9,11.3
Scarborough,2025-08-10T12:00,29.8,55,0.0,15.5,15.1,14.0,10.4,180,181,182,183,0.0,14.6,14.5,159.0,6.15,0.0,441,10.3,11.5
Scarborough,2025-08-10T13:00,31.2,49,0.0,16.9,16.2,15.1,11.5,181,182,182,183,0.0,17.0,16.9,184.0,6.85,0.0,441,8.0,11.4
Scarborough,2025-08-10T14:00,32.1,42,0.0,19.8,19.1,17.6,13.3,178,178,178,179,0.0,19.2,19.2,201.0,6.6,0.0,441,6.7,11.2
Scarborough,2025-08-10T15:00,32.8,41,0.0,22.7,22.0,20.2,15.1,174,175,175,176,0.0,20.5,20.4,208.0,5.55,0.0,441,6.6,10.8
Scarborough,2025-08-10T16:00,33.0,39,0.0,23.0,22.3,20.5,15.5,178,178,179,180,0.0,21.7,21.5,208.0,3.95,0.0,441,7.5,10.3
Scarborough,2025-08-10T17:00,32.7,39,0.0,22.7,22.0,20.2,15.1,177,178,179,179,0.0,23.7,23.7,204.0,2.35,0.0,441,9.4,9.4
Scarborough,2025-08-10T18:00,32.0,40,0.0,22.7,21.6,19.8,14.8,172,173,174,175,0.0,25.3,25.3,196.0,1.05,0.0,441,13.6,7.9
Scarborough,2025-08-10T19:00,30.8,43,0.0,20.5,19.4,17.6,13.0,168,169,171,172,0.0,27.4,27.3,185.0,0.3,0.0,442,18.8,6.1
